account_id;role;player_id
94155156;5;94155156
73562326;4;73562326
103735745;5;103735745
115102590;1;115102590
82262664;5;82262664
111114687;4;111114687
92949094;5;92949094
140153524;5;140153524
140153524;5;140153524
102644565;5;102644565
87196890;5;87196890
91064780;5;
82327674;4;82327674
113800818;4;113800818
25907144;5;25907144
37658157;4;37658157
26682464;5;26682464
145550466;5;145550466
103039499;4;103039499
114239371;5;114239371
114239371;5;114239371
50828662;4;50828662
104275965;4;104275965
85805514;5;85805514
84853828;5;84853828
109512357;5;109512357
110228930;4;
110620360;5;
86750028;5;
111034589;4;
134556694;5;134556694
49317728;5;49317728
311360822;2;311360822
85937380;2;85937380
86745912;1;86745912
129585121;1;129585121
132309493;1;132309493
21289303;1;21289303
111620041;2;111620041
132851371;1;132851371
95430068;1;95430068
177416702;1;177416702
130416036;1;130416036
205813150;2;205813150
168028715;2;168028715
132739889;1;
40547474;1;40547474
5150808;1;5150808
72312627;1;72312627
19672354;1;19672354
139280377;1;139280377
139280377;1;139280377
95825708;2;95825708
70388657;2;70388657
184950344;2;184950344
106573901;2;106573901
166458146;1;
101495620;1;101495620
178096221;2;
26771994;4;26771994
85417034;4;85417034
207829314;4;207829314
86953414;4;86953414
87382579;4;87382579
87278757;4;87278757
103940975;5;103940975
155494381;4;
98878010;3;98878010
182331313;4;
41231571;3;41231571
91698091;3;91698091
117956848;3;117956848
111291593;3;111291593
87012746;3;87012746
169025618;3;169025618
139937922;3;139937922
129958758;3;129958758
101525357;3;101525357
93616251;3;93616251
397462905;3;
92847434;3;
86698277;3;
118134220;3;118134220
34505203;3;34505203
106809101;4;106809101
87276347;3;87276347
131237305;4;131237305
138885864;3;138885864
86811043;3;86811043
30237211;4;30237211
30237211;3;30237211
92423451;3;92423451
187619311;3;187619311
121833213;3;
156662698;3;
40209325;3;40209325
8712306;3;
355156901;3;
86870856;3;
31818853;3;
121917409;3;
102099826;4;
110539311;1;110539311
108939324;3;108939324
101450083;1;101450083
113457795;2;113457795
117281554;1;117281554
90882159;2;90882159
137193239;1;137193239
173880329;2;173880329
107803494;2;
137272985;2;
97590558;1;97590558
84429681;1;84429681
12231202;2;12231202
86799300;2;
116585378;2;116585378
250733860;1;250733860
6922000;5;6922000
89603649;5;89603649
101695162;4;101695162
119576842;4;119576842
91443418;5;91443418
205239629;4;
182993582;5;
98172857;2;98172857
160678812;4;
127077041;4;
100471531;2;100471531
94004717;1;94004717
154715080;2;
149486894;2;149486894
192914280;2;192914280
119939006;2;119939006
43276219;2;43276219
105248644;2;105248644
255219872;2;
164532005;2;
115141430;2;115141430
86738694;2;86738694
93119769;2;93119769
87586992;2;
120374476;2;
66228684;2;
110759067;5;110759067
107855479;2;107855479
42989814;2;42989814
101586543;2;101586543
59463394;2;
249651648;1;
112250781;1;
76173488;3;76173488
171775246;2;
126417273;1;126417273
38628747;3;38628747
27178898;3;27178898
211884113;3;
134276083;3;134276083
148215639;1;148215639
86726887;3;86726887
92590479;3;
106863163;2;106863163
88553213;5;
86700461;2;86700461
186627166;1;186627166
111189717;2;
152545459;1;
139876032;5;139876032
135384059;5;135384059
107081378;5;107081378
108717482;4;
158847773;4;158847773
113331514;4;
93552791;5;
23883296;4;23883296
89117038;4;89117038
87197791;4;87197791
111533846;3;
24009418;4;
86664345;4;
11550182;5;
89550641;3;89550641
85375207;4;85375207
86725175;1;86725175
113825167;1;
90892734;4;90892734
90892734;1;90892734
101356886;4;
89598554;5;89598554
100812084;4;
112377459;4;112377459
86772934;5;
75750590;5;
3916428;5;3916428
21265941;4;
18180970;4;18180970
91730177;5;
49424504;5;
94049589;4;94049589
91369376;1;91369376
245373129;2;
96196828;2;96196828
186977347;2;186977347
211531481;1;
194521913;1;194521913
87285329;2;
100317750;1;100317750
169181898;1;169181898
123820195;1;
19757254;2;
194672667;1;
91971075;2;
86793739;1;86793739
100028335;5;
48782900;4;
201741490;5;
86715129;3;86715129
277742444;1;
90423751;4;
208796906;1;
179773256;3;
43619695;3;43619695
92231506;3;
117731777;5;
94296097;5;94296097
4281729;5;4281729
177085220;2;
113995822;2;
151625242;1;
91644707;1;
151835528;4;
90547237;3;90547237
86785083;3;
88470;3;
139822354;2;139822354
122255316;2;
119525384;4;
250114507;2;250114507
86751819;1;86751819
186837494;5;
240727522;4;
90125566;4;
54580962;5;
91654584;4;
121404228;5;121404228
35504297;5;35504297
180012313;1;
155332459;4;
126253073;5;
8591574;5;
87776861;3;
41470731;5;
21604967;4;
94338967;3;
94738847;3;
150419909;3;
90180366;3;90180366
89038430;3;
159020918;4;
53178236;1;
43401453;4;43401453
103894687;2;
89163371;4;
230617400;2;
123787524;3;
86802844;3;86802844
86974263;5;86974263
113372833;2;
200520919;5;
81852496;2;
36343070;2;
91460772;5;91460772
87040694;2;
67601693;1;
