match_id,account_id_x,team,team_id,datetime
3362113115,140153524,Invictus Gaming,5,07.08.2017 20:37:50
3362113115,82262664,Team Liquid,2163,07.08.2017 20:37:50
3362247584,140153524,Invictus Gaming,5,07.08.2017 22:42:49
3362247584,82262664,Team Liquid,2163,07.08.2017 22:42:49
3362331228,25907144,Evil Geniuses,39,08.08.2017 00:07:05
3362331228,117281554,Newbee,1375614,08.08.2017 00:07:05
3362390555,25907144,Evil Geniuses,39,08.08.2017 01:14:35
3362390555,117281554,Newbee,1375614,08.08.2017 01:14:35
3362458643,91654584,Execration,2581813,08.08.2017 02:49:25
3362458643,87278757,Team Secret,1838315,08.08.2017 02:49:25
3362526195,159020918,Team Empire,46,08.08.2017 04:20:23
3362526195,86726887,Cloud9,1370482,08.08.2017 04:20:23
3362526195,6922000,Cloud9,1333179,08.08.2017 04:20:23
3363973439,114239371,LGD.Forever Young,3331948,08.08.2017 20:41:21
3363973439,87196890,TNC Pro Team,2108395,08.08.2017 20:41:21
3364084016,114239371,LGD.Forever Young,3331948,08.08.2017 22:13:24
3364084016,87196890,TNC Pro Team,2108395,08.08.2017 22:13:24
3364267872,82262664,Team Liquid,2163,09.08.2017 01:16:50
3364267872,87278757,Team Secret,1838315,09.08.2017 01:16:50
3364308762,82262664,Team Liquid,2163,09.08.2017 02:09:23
3364308762,87278757,Team Secret,1838315,09.08.2017 02:09:23
3364351128,82262664,Team Liquid,2163,09.08.2017 03:09:04
3364351128,87278757,Team Secret,1838315,09.08.2017 03:09:04
3364409216,159020918,Team Empire,46,09.08.2017 04:26:09
3364409216,25907144,Evil Geniuses,39,09.08.2017 04:26:09
3364482110,159020918,Team Empire,46,09.08.2017 05:51:17
3364482110,25907144,Evil Geniuses,39,09.08.2017 05:51:17
3366236403,140153524,Invictus Gaming,5,10.08.2017 02:21:53
3366236403,117281554,Newbee,1375614,10.08.2017 02:21:53
3366363258,114239371,LGD.Forever Young,3331948,10.08.2017 05:03:37
3366363258,134556694,Virtus.pro,1883502,10.08.2017 05:03:37
3366419778,114239371,LGD.Forever Young,3331948,10.08.2017 06:04:12
3366419778,134556694,Virtus.pro,1883502,10.08.2017 06:04:12
3367820228,159020918,Team Empire,46,10.08.2017 20:27:49
3367820228,82262664,Team Liquid,2163,10.08.2017 20:27:49
3367897602,159020918,Team Empire,46,10.08.2017 21:27:56
3367897602,82262664,Team Liquid,2163,10.08.2017 21:27:56
3368158118,82262664,Team Liquid,2163,11.08.2017 01:32:37
3368158118,134556694,Virtus.pro,1883502,11.08.2017 01:32:37
3368249009,82262664,Team Liquid,2163,11.08.2017 03:39:37
3368249009,134556694,Virtus.pro,1883502,11.08.2017 03:39:37
3368300783,82262664,Team Liquid,2163,11.08.2017 04:44:30
3368300783,134556694,Virtus.pro,1883502,11.08.2017 04:44:30
3368387319,207829314,Invictus Gaming,5,11.08.2017 06:20:14
3368387319,87276347,Evil Geniuses,39,11.08.2017 06:20:14
3368387319,41231571,OG,2586976,11.08.2017 06:20:14
3368387319,82262664,Team Liquid,2163,11.08.2017 06:20:14
3368387319,134556694,Virtus.pro,1883502,11.08.2017 06:20:14
3368387319,139876032,Newbee,1375614,11.08.2017 06:20:14
3370154221,114239371,LGD.Forever Young,3331948,12.08.2017 00:11:51
3370154221,117281554,Newbee,1375614,12.08.2017 00:11:51
3370213472,114239371,LGD.Forever Young,3331948,12.08.2017 01:10:42
3370213472,117281554,Newbee,1375614,12.08.2017 01:10:42
3372269708,114239371,LGD.Forever Young,3331948,12.08.2017 20:33:56
3372269708,82262664,Team Liquid,2163,12.08.2017 20:33:56
3372386596,114239371,LGD.Forever Young,3331948,12.08.2017 21:59:04
3372386596,82262664,Team Liquid,2163,12.08.2017 21:59:04
3372455628,114239371,LGD.Forever Young,3331948,12.08.2017 22:53:26
3372455628,82262664,Team Liquid,2163,12.08.2017 22:53:26
3372622939,82262664,Team Liquid,2163,13.08.2017 01:17:48
3372622939,117281554,Newbee,1375614,13.08.2017 01:17:48
3372676225,82262664,Team Liquid,2163,13.08.2017 02:13:08
3372676225,117281554,Newbee,1375614,13.08.2017 02:13:08
3372726385,82262664,Team Liquid,2163,13.08.2017 03:12:57
3372726385,117281554,Newbee,1375614,13.08.2017 03:12:57
